team,players
kí klaksvík,"['Jákup Andreasen', 'Patrick Da Silva', 'Árni Frederiksberg', 'Hallur Hansson', 'Cédric Yambéré', 'Jóannes Danielsen', 'Mads Mikkelsen', 'Heini Vatnsdal', 'René Joensen', 'Deni Pavlovic', 'Mark Jensen']"
fc ballkani,"['Lumbardh Dellova', 'Lindon Emërllahu', 'Nazmi Gripshi', 'Edvin Kuc', 'Meriton Korenica', 'Queven', 'Vesel Limaj', 'Walid Hamidi', 'Armend Thaqi', 'Gentrit Halili', 'Almir Kryeziu']"
hjk helsinki,"['Topi Keskinen', 'Luke Plange', 'Lucas Lingman', 'Hassane Bandé', 'Diogo Tomas', 'Georgios Kanellopoulos', 'Nunoo Sarpei', 'Carlos Moros', 'Noah Pallas', 'Santeri Hostikka', 'Kevin Kouassivi-Benissan']"
spartak trnava,"['Adrian Zeljkovic', 'Sebastian Kosa', 'Kelvin Ofori', 'Dominik Takac', 'Andrej Djuric', 'Jan Bernat', 'Kristian Kostrna', 'Erik Daniel', 'Philip Azango', 'Filip Bainovic', 'Martin Bukata']"
fc astana,"['Maks Ebong', 'Aleksa Amanovic', 'Marat Bystrov', 'Abzal Beysebekov', 'Islambek Kuat', 'Yan Vorogovskiy', 'Kipras Kazukolovas', 'Elkhan Astanov', 'Marin Tomasov', 'Ousmane Camara', 'Fabien Ourega']"
hsk zrinjski mostar,"['Mario Cuze', 'Nemanja Bilbija', 'Marko Maric', 'Josip Corluka', 'Tomislav Kis', 'Filip Bradaric', 'Igor Savic', 'Tarik Ramic', 'Besart Abdurahimi', 'Kerim Memija', 'Antonio Ivancic']"
aberdeen fc,"['Bojan Miovski', 'Duk', 'Slobodan Rubezic', 'Leighton Clarkson', 'Richard Jensen', 'Stefan Gartenmann', 'Jamie McGrath', 'Kelle Roos', 'Nicky Devlin', 'Connor Barron', 'Graeme Shinnie']"
nk olimpija ljubljana,"['Timi Max Elsnik', 'Marcel Ratnik', 'Matevz Vidovsek', 'Antonio Marin', 'Nemanja Motika', 'Agustín Doffo', 'Raul Florucz', 'Ivan Durdov', 'Ahmet Muhamedbegovic', 'Jorge Silva', 'David Sualehe']"
slovan bratislava,"['Gerson Rodrigues', 'Tigran Barseghyan', 'Marko Tolic', 'David Strelec', 'Juraj Kucka', 'Jaromir Zmrhal', 'Milan Borjan', 'Kenan Bajric', 'Kyriakos Savvidis', 'César Blackman', 'Kevin Wimmer']"
zorya lugansk,"['Arseniy Batagov', 'Oleg Danchenko', 'Igor Kyryukhantsev', 'Eduardo Guerrero', 'Denys Antyukh', 'Roman Vantukh', 'Jordan', 'Dmytro Matsapura', 'Oleksandr Saputin', 'Dmytro Myshnyov', 'Igor Snurnitsyn']"
legia warszawa,"['Marco Burch', 'Juergen Elitim', 'Kacper Tobiasz', 'Marc Gual', 'Bartosz Kapustka', 'Patryk Kun', 'Yuri Ribeiro', 'Rafal Augustyniak', 'Radovan Pankov', 'Ryoya Morishita', 'Filip Rejczyk']"
molde fk,"['Emil Breivik', 'Mathias Fjørtoft Løvik', 'Casper Øyvann', 'Valdemar Lund', 'Fredrik Gulbrandsen', 'Veton Berisha', 'Mats Møller Dæhli', 'Kristoffer Haugen', 'Eirik Haugan', 'Kristian Eriksen', 'Markus André Kaasa']"
fk cukaricki,"['Igor Miladinovic', 'Nemanja Tosic', 'Marko Docic', 'Stefan Kovac', 'Djordje Ivanovic', 'Mihajlo Cvetkovic', 'Mitar Ergelas', 'Miladin Stevanovic', 'Guzmán Corujo', 'Luka Adzic', 'Bojica Nikcevic']"
maccabi tel aviv,"['Felício Milson', 'Eden Karzev', 'Dor Turgeman', 'Gabi Kanichowsky', 'Dor Peretz', 'Eran Zahavi', 'Osher Davida', 'Derrick Luckassen', 'Dan Biton', 'Kiko Bondoso', 'Roy Revivo']"
maccabi haifa,"['Anan Khalaili', 'Frantzdy Pierrot', 'Gadi Kinda', 'Ali Mohamed', 'Daniil Lesovoy', 'Abdoulaye Seck', 'Dolev Haziza', 'Dean David', 'Pierre Cornud', 'Show', 'Erik Shuranov']"
servette fc,"['Timothé Cognat', 'Alexis Antunes', 'Bendegúz Bolla', 'Dereck Kutesa', 'Keigo Tsunemoto', 'Yoan Severin', 'Dylan Bronn', 'Bradley Mazikou', 'Takuma Nishimura', 'Jérémy Guillemenot', 'Enzo Crivelli']"
fc viktoria plzen,"['Pavel Sulc', 'Rafiu Durosinmi', 'Robin Hranac', 'Tomas Chory', 'Lukas Kalvach', 'Sampson Dweh', 'Martin Jedlicka', 'Matej Vydra', 'Vaclav Jemelka', 'Cadu', 'Erik Jirka']"
fc lugano,"['Zan Celar', 'Ignacio Aliseda', 'Lukas Mai', 'Amir Saipi', 'Albian Hajdari', 'Yanis Cimignani', 'Uran Bislimi', 'Mohamed Belhadj Mahmoud', 'Shkelqim Vladi', 'Martim Marques', 'Kacper Przybylko']"
ludogorets razgrad,"['Bernard Tekpetey', 'Ivaylo Chochev', 'Anton Nedyalkov', 'Jakub Piotrowski', 'Caio Vidal', 'Rwan Seco', 'Kwadwo Duah', 'Aslak Witry', 'Olivier Verdon', 'Noah Sonko Sundberg', 'Rick']"
fk bodø/glimt,"['Albert Grønbæk', 'Patrick Berg', 'Jens Petter Hauge', 'Fredrik Bjørkan', 'Brice Wembangomo', 'Håkon Evjen', 'Nikita Haikin', 'Odin Bjørtuft', 'Fredrik Sjøvold', 'Daniel Bassi', 'August Mikkelsen']"
ferencvárosi tc,"['Mohammed Abu Fani', 'Kristoffer Zachariassen', 'Adama Traoré', 'Marquinhos', 'Cristian Ramírez', 'Krisztián Lisztes', 'Dénes Dibusz', 'Habib Maïga', 'Barnabás Varga', 'Ibrahim Cissé', 'Mohamed Ali Ben Romdhane']"
